# A, B, C
3.499972842083614033e-01,1.095252545339043260e-01,4.381010181356173039e-01
4.521365222883842461e-01,1.591260086364147397e-01,6.365040345456589588e-01
5.190226221399504292e-01,1.703996592862050963e-01,6.815986371448203851e-01
5.328611634417504961e-01,2.094575429608445116e-01,8.378301718433780465e-01
4.184016499441017278e-01,2.508059877137955307e-01,1.003223950855182123e+00
5.828366995917532156e-01,2.558202531464874863e-01,1.023281012585949945e+00
5.639380974805159319e-01,2.581736886184602953e-01,1.032694754473841181e+00
4.348565719477509584e-01,3.125941126421993843e-01,1.250376450568797537e+00
4.751960464014171603e-01,3.160088746019467099e-01,1.264035498407786839e+00
3.957977361162906549e-01,3.228666305911853662e-01,1.291466522364741465e+00
4.875283038601388452e-01,3.304803139202150408e-01,1.321921255680860163e+00
5.120314121907184601e-01,3.358932686463693695e-01,1.343573074585477478e+00
4.534935743952943077e-01,3.499972842083614033e-01,1.399989136833445613e+00
4.845210015480803656e-01,3.530984091995051921e-01,1.412393636798020768e+00
7.160476747487589666e-01,3.608652439039267135e-01,1.443460975615706854e+00
5.039247360871609294e-01,3.669232687353451983e-01,1.467693074941380793e+00
6.304399539168494826e-01,3.711719463600046121e-01,1.484687785440018448e+00
3.125941126421993843e-01,3.777942844453204829e-01,1.511177137781281932e+00
4.654595240263849076e-01,3.832694437784999186e-01,1.533077775113999675e+00
6.699083383713103634e-01,3.920337179349741574e-01,1.568134871739896630e+00
6.025214352981033139e-01,3.953989534301378672e-01,1.581595813720551469e+00
4.421280129089132371e-01,3.957977361162906549e-01,1.583190944465162620e+00
4.625654211598487775e-01,3.976263157342700971e-01,1.590505262937080388e+00
4.748903646754508712e-01,3.981902653089831601e-01,1.592761061235932640e+00
7.993859822459602471e-01,3.983510626900261253e-01,1.593404250760104501e+00
2.558202531464874863e-01,4.040296727120128439e-01,1.616118690848051376e+00
5.810501545836352921e-01,4.086517262046925336e-01,1.634606904818770134e+00
4.422504561063249628e-01,4.184016499441017278e-01,1.673606599776406911e+00
4.849774855253473627e-01,4.200323354332887171e-01,1.680129341733154869e+00
5.231312445149104429e-01,4.348565719477509584e-01,1.739426287791003833e+00
3.983510626900261253e-01,4.371855097388646083e-01,1.748742038955458433e+00
4.686629516723256894e-01,4.380604355357151647e-01,1.752241742142860659e+00
3.304803139202150408e-01,4.421280129089132371e-01,1.768512051635652949e+00
4.444871425033321000e-01,4.422504561063249628e-01,1.769001824425299851e+00
3.832694437784999186e-01,4.444871425033321000e-01,1.777948570013328400e+00
5.533022791840598309e-01,4.504806099625912053e-01,1.801922439850364821e+00
6.106055298624668559e-01,4.521365222883842461e-01,1.808546089153536984e+00
5.108186024914698198e-01,4.534935743952943077e-01,1.813974297581177231e+00
3.976263157342700971e-01,4.537930557319163616e-01,1.815172222927665446e+00
7.371648978667577623e-01,4.611590860957364146e-01,1.844636344382945659e+00
5.545439330789604382e-01,4.625654211598487775e-01,1.850261684639395110e+00
4.712734805488555390e-01,4.654595240263849076e-01,1.861838096105539631e+00
3.608652439039267135e-01,4.659932645479742397e-01,1.863973058191896959e+00
4.200323354332887171e-01,4.686629516723256894e-01,1.874651806689302758e+00
5.208293319633482410e-01,4.712734805488555390e-01,1.885093922195422156e+00
